TH
C	Ohm
0	100
5	102
10	104
15	106
20	108
25	110
30	112
35	113
40	115
45	117
50	119
55	121
60	123
65	125
70	127
75	129
80	131
85	133
90	135
95	137
100	139
105	140
110	142
115	144
120	146
125	148
130	150
135	152
140	154
145	156
150	158
155	160
160	162
165	164
170	165
175	167
180	169
185	171
190	173
195	175
200	177
205	179
210	181
215	183
220	185
225	187
230	189
235	190
240	192
245	194
250	196
255	198
260	200
265	202
270	204
275	206
280	208
285	210
290	212
295	214
300	216
305	217
310	219
315	221
320	223
325	225
330	227
335	229
340	231
345	233
350	235
355	237
360	239
365	241
370	242
375	244
380	246
385	248
390	250
395	252
400	254
405	256
410	258
415	260
420	262
425	264
430	266
435	267
440	269
445	271
450	273
455	275
460	277
465	279
470	281
475	283
480	285
485	287
490	289
495	291
500	293
