TH
C	Ohm
0	127966
5	99997
10	78720
15	62405
20	49804
25	40000
30	32322
35	26269
40	21468
45	17638
50	14564
55	12087
60	10080
65	8446
70	7108
75	6007
80	5097
85	4342
90	3713
95	3187
100	2745
105	2372
110	2057
115	1790
120	1563
125	1368
130	1202
135	1058
140	935
145	828
150	735
155	653
160	582
165	520
170	466
175	419
180	377
185	340
190	308
195	279
200	253.2
205	230
210	209.6
215	191.2
220	174.8
225	160
230	146.4
235	134.4
240	123.6
245	114
250	105.2
